case,frame,trial_index,mode,converged,convergence_step,wall_time_s,lin_err_steady_m,ang_err_steady_rad,ik_optimal_success,sweep__position_cost,sweep__orientation_cost,sweep__lm_damping,ee_ss__x,ee_ss__y,ee_ss__z,ee_ss__r,ee_ss__p,ee_ss__yw
left_pick_x30_y20_z06,left_wrist_yaw_link,1,real,0,-1,13.027,0.02359,0.04923,0,20.0,10.0,1.0,0.28516,0.20606,0.04269,-2.78697,1.52867,-2.76150
left_pick_x30_y20_z06,left_wrist_yaw_link,2,real,0,-1,13.011,0.02396,0.04996,0,20.0,10.0,1.0,0.28484,0.20612,0.04248,-2.77588,1.52830,-2.74962
left_pick_x30_y20_z06,left_wrist_yaw_link,3,real,0,-1,13.006,0.02391,0.04967,0,20.0,10.0,1.0,0.28490,0.20610,0.04250,-2.77317,1.52853,-2.74707
left_pick_x30_y20_z10,left_wrist_yaw_link,1,real,0,-1,13.007,0.02709,0.03830,0,20.0,10.0,1.0,0.28572,0.20554,0.07766,-2.85999,1.53723,-2.84156
left_pick_x30_y20_z10,left_wrist_yaw_link,2,real,0,-1,13.008,0.02692,0.03795,0,20.0,10.0,1.0,0.28587,0.20553,0.07777,-2.85389,1.53759,-2.83552
left_pick_x30_y20_z10,left_wrist_yaw_link,3,real,0,-1,13.006,0.02687,0.03777,0,20.0,10.0,1.0,0.28590,0.20547,0.07780,-2.85228,1.53768,-2.83411
left_pick_x30_y20_z14,left_wrist_yaw_link,1,real,0,-1,13.006,0.03293,0.07027,0,20.0,10.0,1.0,0.28775,0.21972,0.11664,-3.00833,1.51945,-2.96035
left_pick_x30_y20_z14,left_wrist_yaw_link,2,real,0,-1,13.008,0.03286,0.06986,0,20.0,10.0,1.0,0.28781,0.21952,0.11654,-2.99442,1.51947,-2.94702
left_pick_x30_y20_z14,left_wrist_yaw_link,3,real,0,-1,13.008,0.03346,0.07150,0,20.0,10.0,1.0,0.28720,0.21955,0.11605,-3.00027,1.51761,-2.95248
left_pick_x30_y20_z18,left_wrist_yaw_link,1,real,0,-1,13.006,0.03912,0.08679,0,20.0,10.0,1.0,0.28710,0.22673,0.15452,-3.11646,1.51665,-3.04863
left_pick_x30_y20_z18,left_wrist_yaw_link,2,real,0,-1,13.009,0.03905,0.08696,0,20.0,10.0,1.0,0.28711,0.22672,0.15460,-3.11836,1.51660,-3.05035
left_pick_x30_y20_z18,left_wrist_yaw_link,3,real,0,-1,13.007,0.03911,0.08741,0,20.0,10.0,1.0,0.28705,0.22675,0.15459,-3.11933,1.51632,-3.05097
left_pick_x30_y30_z06,left_wrist_yaw_link,1,real,0,-1,13.008,0.01669,0.06302,0,20.0,10.0,1.0,0.29648,0.29138,0.04615,-1.62649,1.52259,-1.66707
left_pick_x30_y30_z06,left_wrist_yaw_link,2,real,0,-1,13.007,0.01473,0.06095,0,20.0,10.0,1.0,0.29798,0.29223,0.04766,-1.30032,1.52452,-1.34000
left_pick_x30_y30_z06,left_wrist_yaw_link,3,real,0,-1,13.005,0.01545,0.06089,0,20.0,10.0,1.0,0.29724,0.29203,0.04706,-1.36465,1.52243,-1.40164
left_pick_x30_y30_z10,left_wrist_yaw_link,1,real,0,-1,13.008,0.00766,0.02132,0,20.0,10.0,1.0,0.30109,0.30232,0.09277,-2.42376,1.55658,-2.43965
left_pick_x30_y30_z10,left_wrist_yaw_link,2,real,0,-1,13.008,0.00785,0.02163,0,20.0,10.0,1.0,0.30082,0.30233,0.09255,-2.45015,1.55595,-2.46589
