case,frame,trial_index,mode,converged,convergence_step,wall_time_s,lin_err_steady_m,ang_err_steady_rad,ik_optimal_success,sweep__position_cost,sweep__orientation_cost,sweep__lm_damping,ee_ss__x,ee_ss__y,ee_ss__z,ee_ss__r,ee_ss__p,ee_ss__yw
left_pick_x30_y30_z10,left_wrist_yaw_link,3,real,0,-1,13.007,0.00780,0.02213,0,20.0,10.0,1.0,0.30092,0.30211,0.09255,-2.43312,1.55593,-2.44952
left_pick_x30_y30_z14,left_wrist_yaw_link,1,real,0,-1,13.005,0.01063,0.03724,0,20.0,10.0,1.0,0.30208,0.30323,0.13009,-1.72512,1.53394,-1.73044
left_pick_x30_y30_z14,left_wrist_yaw_link,2,real,0,-1,13.005,0.01035,0.03668,0,20.0,10.0,1.0,0.30183,0.30328,0.13036,-1.69580,1.53445,-1.70067
left_pick_x30_y30_z14,left_wrist_yaw_link,3,real,0,-1,13.010,0.00986,0.03315,0,20.0,10.0,1.0,0.30087,0.30385,0.13097,-1.73479,1.53766,-1.73582
left_pick_x30_y30_z18,left_wrist_yaw_link,1,real,0,-1,13.005,0.01194,0.02663,0,20.0,10.0,1.0,0.30157,0.30124,0.16823,-2.97915,1.54725,-2.99160
left_pick_x30_y30_z18,left_wrist_yaw_link,2,real,0,-1,13.006,0.01343,0.03070,0,20.0,10.0,1.0,0.30019,0.30063,0.16659,-2.50576,1.54026,-2.50891
left_pick_x30_y30_z18,left_wrist_yaw_link,3,real,0,-1,13.008,0.01453,0.03391,0,20.0,10.0,1.0,0.29942,0.30062,0.16549,-2.50327,1.53697,-2.50575
left_pick_x35_y20_z06,left_wrist_yaw_link,1,real,0,-1,13.006,0.03485,0.02461,0,20.0,10.0,1.0,0.32645,0.20345,0.03454,-1.76106,1.54724,-1.76816
left_pick_x35_y20_z06,left_wrist_yaw_link,2,real,0,-1,13.010,0.03614,0.02135,0,20.0,10.0,1.0,0.32767,0.21465,0.03565,-2.28434,1.56714,-2.26331
left_pick_x35_y20_z06,left_wrist_yaw_link,3,real,0,-1,13.006,0.03643,0.02379,0,20.0,10.0,1.0,0.32720,0.21421,0.03539,-2.26055,1.56467,-2.23757
left_pick_x35_y20_z10,left_wrist_yaw_link,1,real,0,-1,13.008,0.03191,0.04332,0,20.0,10.0,1.0,0.33171,0.19940,0.07386,-2.43697,1.52761,-2.44048
left_pick_x35_y20_z10,left_wrist_yaw_link,2,real,0,-1,13.007,0.03168,0.04650,0,20.0,10.0,1.0,0.33189,0.19934,0.07402,-2.33554,1.52426,-2.33877
left_pick_x35_y20_z10,left_wrist_yaw_link,3,real,0,-1,13.006,0.03178,0.05159,0,20.0,10.0,1.0,0.33186,0.19939,0.07392,-2.24273,1.51932,-2.24607
left_pick_x35_y20_z14,left_wrist_yaw_link,1,real,0,-1,13.007,0.04140,0.07470,0,20.0,10.0,1.0,0.32819,0.18445,0.10844,-2.69667,1.49623,-2.69906
left_pick_x35_y20_z14,left_wrist_yaw_link,2,real,0,-1,13.007,0.02828,0.05380,0,20.0,10.0,1.0,0.33762,0.18575,0.11894,-2.59557,1.52030,-2.61415
left_pick_x35_y20_z14,left_wrist_yaw_link,3,real,0,-1,13.006,0.02863,0.05073,0,20.0,10.0,1.0,0.33757,0.18530,0.11881,-2.74421,1.52294,-2.76107
left_pick_x35_y20_z18,left_wrist_yaw_link,1,real,0,-1,13.006,0.03248,0.06985,0,20.0,10.0,1.0,0.33761,0.18491,0.15405,-2.85807,1.50200,-2.87013
left_pick_x35_y20_z18,left_wrist_yaw_link,2,real,0,-1,13.010,0.03262,0.07005,0,20.0,10.0,1.0,0.33742,0.18516,0.15382,-2.88333,1.50191,-2.89607
left_pick_x35_y20_z18,left_wrist_yaw_link,3,real,0,-1,13.010,0.03253,0.06991,0,20.0,10.0,1.0,0.33754,0.18482,0.15406,-2.86664,1.50209,-2.87958
left_pick_x35_y30_z06,left_wrist_yaw_link,1,real,0,-1,13.007,0.04345,0.05293,0,20.0,10.0,1.0,0.33214,0.27093,0.03310,-1.19143,1.53016,-1.22534
left_pick_x35_y30_z06,left_wrist_yaw_link,2,real,0,-1,13.010,0.04339,0.05290,0,20.0,10.0,1.0,0.33214,0.27099,0.03313,-1.18996,1.52999,-1.22362
left_pick_x35_y30_z06,left_wrist_yaw_link,3,real,0,-1,13.006,0.04319,0.05328,0,20.0,10.0,1.0,0.33243,0.27090,0.03336,-1.17467,1.52981,-1.20873
left_pick_x35_y30_z10,left_wrist_yaw_link,1,real,0,-1,13.008,0.05012,0.08408,0,20.0,10.0,1.0,0.32704,0.27108,0.06613,-2.33329,1.48983,-2.35588
left_pick_x35_y30_z10,left_wrist_yaw_link,2,real,0,-1,13.005,0.04984,0.08376,0,20.0,10.0,1.0,0.32697,0.27149,0.06623,-2.33795,1.48999,-2.36001
left_pick_x35_y30_z10,left_wrist_yaw_link,3,real,0,-1,13.008,0.04969,0.07367,0,20.0,10.0,1.0,0.32725,0.27132,0.06640,-2.47647,1.50402,-2.50762
left_pick_x35_y30_z14,left_wrist_yaw_link,1,real,0,-1,13.011,0.04078,0.08259,0,20.0,10.0,1.0,0.33381,0.27912,0.10894,-2.62744,1.49126,-2.64969
left_pick_x35_y30_z14,left_wrist_yaw_link,2,real,0,-1,13.006,0.04085,0.08465,0,20.0,10.0,1.0,0.33359,0.27937,0.10880,-2.61716,1.48709,-2.62975
left_pick_x35_y30_z14,left_wrist_yaw_link,3,real,0,-1,13.008,0.04044,0.08356,0,20.0,10.0,1.0,0.33422,0.27883,0.10937,-2.61129,1.48826,-2.62426
left_pick_x35_y30_z18,left_wrist_yaw_link,1,real,0,-1,13.006,0.04150,0.09780,0,20.0,10.0,1.0,0.33603,0.27679,0.14857,-2.85376,1.48502,-2.90075
left_pick_x35_y30_z18,left_wrist_yaw_link,2,real,0,-1,13.006,0.04170,0.09844,0,20.0,10.0,1.0,0.33591,0.27673,0.14839,-2.84503,1.48469,-2.89276
left_pick_x35_y30_z18,left_wrist_yaw_link,3,real,0,-1,13.006,0.04168,0.09822,0,20.0,10.0,1.0,0.33570,0.27704,0.14829,-2.86459,1.48457,-2.91163
right_pick_x30_y20_z06,right_wrist_yaw_link,1,real,0,-1,13.005,0.03406,0.05838,0,20.0,10.0,1.0,0.28253,-0.17510,0.04468,2.54600,1.52344,2.58013
right_pick_x30_y20_z06,right_wrist_yaw_link,2,real,0,-1,13.010,0.03543,0.07649,0,20.0,10.0,1.0,0.27966,-0.17667,0.04277,2.64466,1.50219,2.67849
right_pick_x30_y20_z06,right_wrist_yaw_link,3,real,0,-1,13.005,0.03527,0.06912,0,20.0,10.0,1.0,0.28000,-0.17649,0.04295,2.80832,1.50966,2.84056
right_pick_x30_y20_z10,right_wrist_yaw_link,1,real,0,-1,13.006,0.03331,0.07843,0,20.0,10.0,1.0,0.28242,-0.17776,0.08255,2.69945,1.49919,2.73135
right_pick_x30_y20_z10,right_wrist_yaw_link,2,real,0,-1,13.006,0.03265,0.07629,0,20.0,10.0,1.0,0.28306,-0.17781,0.08306,2.65529,1.50005,2.68383
right_pick_x30_y20_z10,right_wrist_yaw_link,3,real,0,-1,13.006,0.03234,0.07570,0,20.0,10.0,1.0,0.28333,-0.17793,0.08325,2.65286,1.50038,2.68065
right_pick_x30_y20_z14,right_wrist_yaw_link,1,real,0,-1,13.006,0.03109,0.10399,0,20.0,10.0,1.0,0.28346,-0.18139,0.12140,2.83540,1.48165,2.88860
right_pick_x30_y20_z14,right_wrist_yaw_link,2,real,0,-1,13.006,0.02954,0.09110,0,20.0,10.0,1.0,0.28565,-0.18028,0.12334,2.73916,1.48876,2.77844
right_pick_x30_y20_z14,right_wrist_yaw_link,3,real,0,-1,13.006,0.02946,0.08846,0,20.0,10.0,1.0,0.28568,-0.18042,0.12330,2.76295,1.49127,2.80163
right_pick_x30_y20_z18,right_wrist_yaw_link,1,real,0,-1,13.008,0.03296,0.09832,0,20.0,10.0,1.0,0.28603,-0.17815,0.15965,2.78162,1.49185,2.84022
right_pick_x30_y20_z18,right_wrist_yaw_link,2,real,0,-1,13.019,0.04317,0.13913,0,20.0,10.0,1.0,0.28228,-0.23075,0.15543,-2.80240,1.48344,-2.91072
right_pick_x30_y20_z18,right_wrist_yaw_link,3,real,0,-1,13.010,0.04319,0.13905,0,20.0,10.0,1.0,0.28219,-0.23067,0.15536,-2.80400,1.48388,-2.91256
right_pick_x30_y30_z06,right_wrist_yaw_link,1,real,0,-1,13.007,0.02906,0.05184,0,20.0,10.0,1.0,0.27974,-0.31196,0.04294,-2.57273,1.53634,-2.53399
right_pick_x30_y30_z06,right_wrist_yaw_link,2,real,0,-1,13.006,0.02853,0.05162,0,20.0,10.0,1.0,0.28018,-0.31171,0.04315,-2.54413,1.53795,-2.50431
right_pick_x30_y30_z06,right_wrist_yaw_link,3,real,0,-1,13.005,0.02835,0.05160,0,20.0,10.0,1.0,0.28037,-0.31182,0.04331,-2.53094,1.53803,-2.49108
right_pick_x30_y30_z10,right_wrist_yaw_link,1,real,0,-1,13.006,0.01607,0.02896,0,20.0,10.0,1.0,0.29201,-0.30976,0.09004,-2.52928,1.55495,-2.50503
right_pick_x30_y30_z10,right_wrist_yaw_link,2,real,0,-1,13.008,0.01737,0.02394,0,20.0,10.0,1.0,0.29061,-0.30937,0.08879,-2.98974,1.55404,-2.97265
right_pick_x30_y30_z10,right_wrist_yaw_link,3,real,0,-1,13.006,0.01748,0.02367,0,20.0,10.0,1.0,0.29053,-0.30942,0.08872,-2.99893,1.55410,-2.98215
right_pick_x30_y30_z14,right_wrist_yaw_link,1,real,0,-1,13.006,0.02023,0.04180,0,20.0,10.0,1.0,0.28925,-0.30925,0.12558,0.06943,1.53115,3.12797
right_pick_x30_y30_z14,right_wrist_yaw_link,2,real,0,-1,13.006,0.02031,0.04201,0,20.0,10.0,1.0,0.28914,-0.30912,0.12545,3.11219,1.53118,3.09820
right_pick_x30_y30_z14,right_wrist_yaw_link,3,real,0,-1,13.007,0.02025,0.04179,0,20.0,10.0,1.0,0.28922,-0.30923,0.12556,-3.12701,1.53083,-3.13922
right_pick_x30_y30_z18,right_wrist_yaw_link,1,real,0,-1,13.011,0.02051,0.08016,0,20.0,10.0,1.0,0.29074,-0.30515,0.16245,-2.97199,1.50003,-3.00963
right_pick_x30_y30_z18,right_wrist_yaw_link,2,real,0,-1,13.010,0.02081,0.08098,0,20.0,10.0,1.0,0.29039,-0.30521,0.16229,-2.98466,1.49968,-3.02336
right_pick_x30_y30_z18,right_wrist_yaw_link,3,real,0,-1,13.013,0.02101,0.08100,0,20.0,10.0,1.0,0.28977,-0.30546,0.16249,-2.95760,1.49941,-2.99593
right_pick_x35_y20_z06,right_wrist_yaw_link,1,real,0,-1,13.009,0.04282,0.02092,0,20.0,10.0,1.0,0.32225,-0.21747,0.03246,-1.20555,1.54988,-1.20526
right_pick_x35_y20_z06,right_wrist_yaw_link,2,real,0,-1,13.007,0.04270,0.02029,0,20.0,10.0,1.0,0.32237,-0.21734,0.03245,-1.17879,1.55052,-1.17822
right_pick_x35_y20_z06,right_wrist_yaw_link,3,real,0,-1,13.006,0.04274,0.02063,0,20.0,10.0,1.0,0.32231,-0.21741,0.03248,-1.18432,1.55018,-1.18383
right_pick_x35_y20_z10,right_wrist_yaw_link,1,real,0,-1,13.010,0.03796,0.03365,0,20.0,10.0,1.0,0.32565,-0.20994,0.07263,-2.95224,1.53938,-2.94020
right_pick_x35_y20_z10,right_wrist_yaw_link,2,real,0,-1,13.006,0.03914,0.03601,0,20.0,10.0,1.0,0.32495,-0.21065,0.07202,-2.96975,1.53848,-2.95444
right_pick_x35_y20_z10,right_wrist_yaw_link,3,real,0,-1,13.008,0.03704,0.03314,0,20.0,10.0,1.0,0.32643,-0.21022,0.07332,-2.94911,1.54226,-2.93225
right_pick_x35_y20_z14,right_wrist_yaw_link,1,real,0,-1,13.006,0.04790,0.08224,0,20.0,10.0,1.0,0.31980,-0.21420,0.10565,-2.97659,1.48886,-2.98356
right_pick_x35_y20_z14,right_wrist_yaw_link,2,real,0,-1,13.007,0.04762,0.07963,0,20.0,10.0,1.0,0.32002,-0.21416,0.10582,-2.97369,1.49142,-2.97997
right_pick_x35_y20_z14,right_wrist_yaw_link,3,real,0,-1,13.012,0.04748,0.07928,0,20.0,10.0,1.0,0.32017,-0.21416,0.10588,-2.96900,1.49173,-2.97484
right_pick_x35_y20_z18,right_wrist_yaw_link,1,real,0,-1,13.018,0.05126,0.12083,0,20.0,10.0,1.0,0.32064,-0.21521,0.14083,3.12242,1.45263,3.09721
right_pick_x35_y20_z18,right_wrist_yaw_link,2,real,0,-1,13.014,0.05067,0.11982,0,20.0,10.0,1.0,0.32106,-0.21505,0.14125,3.13403,1.45364,3.10900
right_pick_x35_y20_z18,right_wrist_yaw_link,3,real,0,-1,13.010,0.05127,0.12264,0,20.0,10.0,1.0,0.31971,-0.20957,0.13976,3.09378,1.44870,3.08213
right_pick_x35_y30_z06,right_wrist_yaw_link,1,real,0,-1,13.010,0.04444,0.02483,0,20.0,10.0,1.0,0.31686,-0.30421,0.03070,1.95787,1.56150,1.98090
right_pick_x35_y30_z06,right_wrist_yaw_link,2,real,0,-1,13.007,0.04427,0.02303,0,20.0,10.0,1.0,0.31695,-0.30452,0.03090,2.27542,1.56176,2.29661
right_pick_x35_y30_z06,right_wrist_yaw_link,3,real,0,-1,13.010,0.04439,0.02397,0,20.0,10.0,1.0,0.31688,-0.30451,0.03080,2.00567,1.56304,2.02835
right_pick_x35_y30_z10,right_wrist_yaw_link,1,real,0,-1,13.006,0.04017,0.03923,0,20.0,10.0,1.0,0.32294,-0.31006,0.07206,3.04184,1.53632,3.06056
right_pick_x35_y30_z10,right_wrist_yaw_link,2,real,0,-1,13.008,0.03990,0.03806,0,20.0,10.0,1.0,0.32316,-0.31012,0.07227,3.03584,1.53730,3.05392
right_pick_x35_y30_z10,right_wrist_yaw_link,3,real,0,-1,13.006,0.03987,0.03850,0,20.0,10.0,1.0,0.32319,-0.31009,0.07227,3.03249,1.53726,3.05141
right_pick_x35_y30_z14,right_wrist_yaw_link,1,real,0,-1,13.006,0.04366,0.07778,0,20.0,10.0,1.0,0.32100,-0.30728,0.10819,3.08423,1.49302,3.08354
right_pick_x35_y30_z14,right_wrist_yaw_link,2,real,0,-1,13.008,0.04306,0.07893,0,20.0,10.0,1.0,0.32137,-0.30719,0.10865,3.06440,1.49192,3.06145
right_pick_x35_y30_z14,right_wrist_yaw_link,3,real,0,-1,13.011,0.04346,0.07905,0,20.0,10.0,1.0,0.32113,-0.30723,0.10833,3.08175,1.49178,3.07944
right_pick_x35_y30_z18,right_wrist_yaw_link,1,real,0,-1,13.016,0.03721,0.09636,0,20.0,10.0,1.0,0.32880,-0.30611,0.15009,3.05231,1.47598,3.03545
right_pick_x35_y30_z18,right_wrist_yaw_link,2,real,0,-1,13.011,0.03696,0.09373,0,20.0,10.0,1.0,0.32879,-0.31038,0.15157,3.11873,1.48168,3.08966
right_pick_x35_y30_z18,right_wrist_yaw_link,3,real,0,-1,13.024,0.03762,0.09598,0,20.0,10.0,1.0,0.32836,-0.31067,0.15115,3.08825,1.47891,3.06051
