case,frame,trial_index,mode,converged,convergence_step,wall_time_s,lin_err_steady_m,ang_err_steady_rad,ik_optimal_success,sweep__position_cost,sweep__orientation_cost,sweep__lm_damping,ee_ss__x,ee_ss__y,ee_ss__z,ee_ss__r,ee_ss__p,ee_ss__yw
left_pick_x30_y20_z06,left_wrist_yaw_link,1,real,1,264,9.646,0.00203,0.00354,0,20.0,10.0,1.0,0.29975,0.19905,0.05822,2.69386,1.56798,2.69601
left_pick_x30_y20_z06,left_wrist_yaw_link,2,real,0,-1,13.022,0.00671,0.01000,0,20.0,10.0,1.0,0.29816,0.19423,0.05710,-2.09906,1.56491,-2.10715
left_pick_x30_y20_z06,left_wrist_yaw_link,3,real,1,264,9.707,0.00390,0.00593,0,20.0,10.0,1.0,0.29926,0.19657,0.05830,-1.73603,1.56505,-1.73751
left_pick_x30_y20_z10,left_wrist_yaw_link,1,real,0,-1,13.007,0.00513,0.00828,0,20.0,10.0,1.0,0.29979,0.19526,0.09803,-1.68501,1.56611,-1.69183
left_pick_x30_y20_z10,left_wrist_yaw_link,2,real,0,-1,13.005,0.00509,0.00886,0,20.0,10.0,1.0,0.29937,0.19539,0.09795,-1.89378,1.56490,-1.90039
left_pick_x30_y20_z10,left_wrist_yaw_link,3,real,0,-1,13.006,0.00604,0.01015,0,20.0,10.0,1.0,0.29898,0.19462,0.09745,-2.27407,1.56580,-2.28291
left_pick_x30_y20_z14,left_wrist_yaw_link,1,real,1,300,10.391,0.00409,0.00616,0,20.0,10.0,1.0,0.29891,0.19727,0.13716,3.10772,1.56639,3.10342
left_pick_x30_y20_z14,left_wrist_yaw_link,2,real,0,-1,13.006,0.00597,0.01141,0,20.0,10.0,1.0,0.29902,0.19474,0.13734,-2.00267,1.56274,-2.01074
left_pick_x30_y20_z14,left_wrist_yaw_link,3,real,1,301,10.394,0.00382,0.00718,0,20.0,10.0,1.0,0.29896,0.19728,0.13752,-2.45938,1.56457,-2.46294
left_pick_x30_y20_z18,left_wrist_yaw_link,1,real,0,-1,13.006,0.00533,0.01032,0,20.0,10.0,1.0,0.29892,0.19607,0.17656,-2.25738,1.56386,-2.26503
left_pick_x30_y20_z18,left_wrist_yaw_link,2,real,1,313,10.673,0.00518,0.00940,0,20.0,10.0,1.0,0.29900,0.19612,0.17673,-2.63099,1.56499,-2.63839
left_pick_x30_y20_z18,left_wrist_yaw_link,3,real,0,-1,13.006,0.00518,0.00872,0,20.0,10.0,1.0,0.29894,0.19603,0.17685,-2.68666,1.56491,-2.69310
left_pick_x30_y30_z06,left_wrist_yaw_link,1,real,1,250,9.314,0.00370,0.01183,0,20.0,10.0,1.0,0.29984,0.29743,0.05735,-1.61877,1.55958,-1.62254
left_pick_x30_y30_z06,left_wrist_yaw_link,2,real,1,250,9.331,0.00286,0.01466,0,20.0,10.0,1.0,0.30023,0.29815,0.05783,-1.38884,1.55980,-1.39852
left_pick_x30_y30_z06,left_wrist_yaw_link,3,real,1,250,9.306,0.00302,0.01549,0,20.0,10.0,1.0,0.30035,0.29801,0.05776,-1.47202,1.55975,-1.48288
left_pick_x30_y30_z10,left_wrist_yaw_link,1,real,1,272,9.821,0.00428,0.01418,0,20.0,10.0,1.0,0.29985,0.29717,0.09679,-1.82802,1.55817,-1.83447
left_pick_x30_y30_z10,left_wrist_yaw_link,2,real,1,272,9.860,0.00391,0.01280,0,20.0,10.0,1.0,0.29980,0.29739,0.09709,-1.82280,1.55924,-1.82830
left_pick_x30_y30_z10,left_wrist_yaw_link,3,real,1,271,9.878,0.00427,0.01417,0,20.0,10.0,1.0,0.29982,0.29719,0.09680,-1.82469,1.55801,-1.83080
left_pick_x30_y30_z14,left_wrist_yaw_link,1,real,1,290,10.262,0.00330,0.01050,0,20.0,10.0,1.0,0.30012,0.29832,0.13717,-1.88416,1.56169,-1.88939
left_pick_x30_y30_z14,left_wrist_yaw_link,2,real,1,290,10.284,0.00364,0.01234,0,20.0,10.0,1.0,0.30015,0.29818,0.13685,-1.92550,1.56050,-1.93231
left_pick_x30_y30_z14,left_wrist_yaw_link,3,real,1,290,10.263,0.00348,0.01152,0,20.0,10.0,1.0,0.30019,0.29825,0.13700,-1.93925,1.56100,-1.94531
left_pick_x30_y30_z18,left_wrist_yaw_link,1,real,1,306,10.602,0.00280,0.01021,0,20.0,10.0,1.0,0.30058,0.30044,0.17730,-1.97043,1.56149,-1.97463
left_pick_x30_y30_z18,left_wrist_yaw_link,2,real,1,305,10.521,0.00273,0.01011,0,20.0,10.0,1.0,0.30058,0.30045,0.17737,-1.96806,1.56153,-1.97210
left_pick_x30_y30_z18,left_wrist_yaw_link,3,real,1,305,10.607,0.00294,0.01082,0,20.0,10.0,1.0,0.30045,0.30033,0.17711,-2.01436,1.56087,-2.01867
left_pick_x35_y20_z06,left_wrist_yaw_link,1,real,0,-1,13.006,0.00515,0.00702,0,20.0,10.0,1.0,0.34685,0.19886,0.05609,-2.51919,1.56379,-2.51951
left_pick_x35_y20_z06,left_wrist_yaw_link,2,real,1,234,9.062,0.00589,0.01038,0,20.0,10.0,1.0,0.34666,0.19753,0.05583,-2.15595,1.56046,-2.15687
left_pick_x35_y20_z06,left_wrist_yaw_link,3,real,0,-1,13.006,0.00652,0.00947,0,20.0,10.0,1.0,0.34678,0.19589,0.05611,-2.72419,1.56320,-2.72985
left_pick_x35_y20_z10,left_wrist_yaw_link,1,real,0,-1,13.007,0.00633,0.01111,0,20.0,10.0,1.0,0.34849,0.19459,0.09707,-2.01341,1.56181,-2.01995
left_pick_x35_y20_z10,left_wrist_yaw_link,2,real,0,-1,13.006,0.00554,0.01052,0,20.0,10.0,1.0,0.34740,0.19661,0.09648,-2.50007,1.56049,-2.50218
left_pick_x35_y20_z10,left_wrist_yaw_link,3,real,0,-1,13.006,0.00546,0.00814,0,20.0,10.0,1.0,0.34804,0.19601,0.09684,-2.69669,1.56535,-2.70274
left_pick_x35_y20_z14,left_wrist_yaw_link,1,real,1,284,10.301,0.00426,0.00581,0,20.0,10.0,1.0,0.34806,0.19899,0.13634,3.02635,1.56502,3.02697
left_pick_x35_y20_z14,left_wrist_yaw_link,2,real,1,281,10.046,0.00390,0.00489,0,20.0,10.0,1.0,0.34838,0.19931,0.13653,3.09271,1.56612,3.09414
left_pick_x35_y20_z14,left_wrist_yaw_link,3,real,1,278,9.957,0.00347,0.00360,0,20.0,10.0,1.0,0.34864,0.19913,0.13693,2.48076,1.56741,2.47955
left_pick_x35_y20_z18,left_wrist_yaw_link,1,real,1,291,10.255,0.00419,0.00593,0,20.0,10.0,1.0,0.34954,0.19783,0.17644,2.80398,1.56750,2.79905
left_pick_x35_y20_z18,left_wrist_yaw_link,2,real,1,292,10.284,0.00510,0.00641,0,20.0,10.0,1.0,0.34950,0.19666,0.17618,-2.08897,1.56518,-2.09205
left_pick_x35_y20_z18,left_wrist_yaw_link,3,real,1,291,10.227,0.00431,0.00574,0,20.0,10.0,1.0,0.34959,0.19773,0.17636,2.88144,1.56765,2.87663
left_pick_x35_y30_z06,left_wrist_yaw_link,1,real,0,-1,13.008,0.00337,0.05259,0,20.0,10.0,1.0,0.34967,0.29805,0.05728,-0.17999,1.52799,-0.21054
left_pick_x35_y30_z06,left_wrist_yaw_link,2,real,0,-1,13.005,0.00337,0.04933,0,20.0,10.0,1.0,0.34891,0.29849,0.05719,-0.18034,1.53051,-0.20881
left_pick_x35_y30_z06,left_wrist_yaw_link,3,real,0,-1,13.006,0.00326,0.04997,0,20.0,10.0,1.0,0.34912,0.29838,0.05731,-0.17658,1.52997,-0.20539
left_pick_x35_y30_z10,left_wrist_yaw_link,1,real,1,247,9.410,0.00573,0.02083,0,20.0,10.0,1.0,0.34934,0.29604,0.09591,-1.30802,1.55592,-1.32260
left_pick_x35_y30_z10,left_wrist_yaw_link,2,real,1,246,9.306,0.00575,0.02219,0,20.0,10.0,1.0,0.34943,0.29590,0.09601,-1.29792,1.55425,-1.31272
