case,frame,trial_index,mode,converged,convergence_step,wall_time_s,lin_err_steady_m,ang_err_steady_rad,ik_optimal_success,sweep__position_cost,sweep__orientation_cost,sweep__lm_damping,ee_ss__x,ee_ss__y,ee_ss__z,ee_ss__r,ee_ss__p,ee_ss__yw
left_pick_x35_y30_z10,left_wrist_yaw_link,3,real,1,247,9.282,0.00570,0.02161,0,20.0,10.0,1.0,0.34946,0.29594,0.09603,-1.29062,1.55508,-1.30546
left_pick_x35_y30_z14,left_wrist_yaw_link,1,real,1,266,9.690,0.00401,0.01003,0,20.0,10.0,1.0,0.34888,0.29849,0.13646,-2.16487,1.56087,-2.16635
left_pick_x35_y30_z14,left_wrist_yaw_link,2,real,1,266,9.677,0.00420,0.01063,0,20.0,10.0,1.0,0.34902,0.29828,0.13629,-2.10945,1.56043,-2.11181
left_pick_x35_y30_z14,left_wrist_yaw_link,3,real,1,266,9.639,0.00415,0.00878,0,20.0,10.0,1.0,0.34897,0.29824,0.13638,-2.18343,1.56265,-2.18671
left_pick_x35_y30_z18,left_wrist_yaw_link,1,real,1,283,9.963,0.00386,0.01019,0,20.0,10.0,1.0,0.35022,0.29752,0.17704,-1.82562,1.56289,-1.83205
left_pick_x35_y30_z18,left_wrist_yaw_link,2,real,1,282,10.007,0.00444,0.01508,0,20.0,10.0,1.0,0.35002,0.29743,0.17638,-1.83223,1.55766,-1.83963
left_pick_x35_y30_z18,left_wrist_yaw_link,3,real,1,282,10.015,0.00425,0.01438,0,20.0,10.0,1.0,0.35007,0.29750,0.17656,-1.82385,1.55837,-1.83109
right_pick_x30_y20_z06,right_wrist_yaw_link,1,real,0,-1,13.006,0.00587,0.01537,0,20.0,10.0,1.0,0.29696,-0.20429,0.05738,-2.49275,1.55780,-2.50095
right_pick_x30_y20_z06,right_wrist_yaw_link,2,real,0,-1,13.006,0.00590,0.01519,0,20.0,10.0,1.0,0.29697,-0.20431,0.05734,-2.49905,1.55793,-2.50713
right_pick_x30_y20_z06,right_wrist_yaw_link,3,real,0,-1,13.009,0.00588,0.01515,0,20.0,10.0,1.0,0.29690,-0.20419,0.05728,-2.52822,1.55795,-2.53626
right_pick_x30_y20_z10,right_wrist_yaw_link,1,real,0,-1,13.006,0.00702,0.01902,0,20.0,10.0,1.0,0.29589,-0.20409,0.09605,-2.85881,1.55619,-2.87100
right_pick_x30_y20_z10,right_wrist_yaw_link,2,real,0,-1,13.011,0.00673,0.01787,0,20.0,10.0,1.0,0.29613,-0.20386,0.09609,-2.89176,1.55705,-2.90317
right_pick_x30_y20_z10,right_wrist_yaw_link,3,real,0,-1,13.006,0.00671,0.01841,0,20.0,10.0,1.0,0.29609,-0.20398,0.09628,-2.84308,1.55677,-2.85499
right_pick_x30_y20_z14,right_wrist_yaw_link,1,real,0,-1,13.006,0.01344,0.03784,0,20.0,10.0,1.0,0.29880,-0.21329,0.13841,-1.96852,1.55537,-2.00307
right_pick_x30_y20_z14,right_wrist_yaw_link,2,real,0,-1,13.008,0.01317,0.03760,0,20.0,10.0,1.0,0.29836,-0.21293,0.13813,-2.05269,1.55489,-2.08675
right_pick_x30_y20_z14,right_wrist_yaw_link,3,real,0,-1,13.005,0.01310,0.03713,0,20.0,10.0,1.0,0.29851,-0.21288,0.13815,-2.03936,1.55535,-2.07313
right_pick_x30_y20_z18,right_wrist_yaw_link,1,real,0,-1,13.009,0.00688,0.01814,0,20.0,10.0,1.0,0.29573,-0.19988,0.17461,3.10855,1.55284,3.10605
right_pick_x30_y20_z18,right_wrist_yaw_link,2,real,1,314,11.084,0.00431,0.01136,0,20.0,10.0,1.0,0.29751,-0.19882,0.17669,-3.09204,1.56043,-3.08741
right_pick_x30_y20_z18,right_wrist_yaw_link,3,real,0,-1,13.006,0.00573,0.01746,0,20.0,10.0,1.0,0.29692,-0.19755,0.17583,3.13476,1.55454,0.96619
right_pick_x30_y30_z06,right_wrist_yaw_link,1,real,1,249,9.347,0.00307,0.00530,0,20.0,10.0,1.0,0.29782,-0.30061,0.05792,-3.00817,1.56562,-3.00700
right_pick_x30_y30_z06,right_wrist_yaw_link,2,real,1,250,9.318,0.00326,0.00546,0,20.0,10.0,1.0,0.29769,-0.30064,0.05778,2.30452,1.56985,2.30989
right_pick_x30_y30_z06,right_wrist_yaw_link,3,real,1,250,9.296,0.00329,0.00518,0,20.0,10.0,1.0,0.29766,-0.30087,0.05786,-3.12172,1.56878,-3.11695
right_pick_x30_y30_z10,right_wrist_yaw_link,1,real,1,272,9.765,0.00344,0.00921,0,20.0,10.0,1.0,0.29799,-0.30200,0.09806,-2.82748,1.56311,-2.83255
right_pick_x30_y30_z10,right_wrist_yaw_link,2,real,1,272,9.743,0.00330,0.00917,0,20.0,10.0,1.0,0.29795,-0.30150,0.09789,-2.88936,1.56266,-2.89360
right_pick_x30_y30_z10,right_wrist_yaw_link,3,real,1,272,9.809,0.00331,0.00909,0,20.0,10.0,1.0,0.29795,-0.30148,0.09787,-2.93528,1.56278,-2.93957
right_pick_x30_y30_z14,right_wrist_yaw_link,1,real,1,290,10.162,0.00372,0.01082,0,20.0,10.0,1.0,0.29784,-0.30012,0.13697,2.88602,1.56065,2.88225
right_pick_x30_y30_z14,right_wrist_yaw_link,2,real,1,289,10.094,0.00376,0.01051,0,20.0,10.0,1.0,0.29782,-0.30030,0.13695,2.92395,1.56101,2.92014
right_pick_x30_y30_z14,right_wrist_yaw_link,3,real,1,290,10.093,0.00377,0.01081,0,20.0,10.0,1.0,0.29780,-0.30012,0.13694,2.88834,1.56062,2.88470
right_pick_x30_y30_z18,right_wrist_yaw_link,1,real,1,305,10.487,0.00467,0.01429,0,20.0,10.0,1.0,0.29766,-0.30099,0.17609,2.92877,1.55724,2.92425
right_pick_x30_y30_z18,right_wrist_yaw_link,2,real,1,305,10.434,0.00453,0.01422,0,20.0,10.0,1.0,0.29782,-0.30110,0.17618,2.93108,1.55748,2.92610
right_pick_x30_y30_z18,right_wrist_yaw_link,3,real,1,305,10.425,0.00477,0.01454,0,20.0,10.0,1.0,0.29773,-0.30105,0.17595,2.90039,1.55698,2.89587
right_pick_x35_y20_z06,right_wrist_yaw_link,1,real,0,-1,13.006,0.01008,0.02094,0,20.0,10.0,1.0,0.34269,-0.19825,0.05329,3.07811,1.55026,3.08217
right_pick_x35_y20_z06,right_wrist_yaw_link,2,real,0,-1,13.009,0.00679,0.00834,0,20.0,10.0,1.0,0.34512,-0.19894,0.05540,2.87267,1.56247,2.87231
right_pick_x35_y20_z06,right_wrist_yaw_link,3,real,0,-1,13.006,0.00681,0.00927,0,20.0,10.0,1.0,0.34507,-0.19899,0.05541,2.86057,1.56153,2.86070
right_pick_x35_y20_z10,right_wrist_yaw_link,1,real,0,-1,13.009,0.00672,0.01918,0,20.0,10.0,1.0,0.34569,-0.19711,0.09573,2.93012,1.55260,2.93620
right_pick_x35_y20_z10,right_wrist_yaw_link,2,real,0,-1,13.005,0.00651,0.01897,0,20.0,10.0,1.0,0.34581,-0.19715,0.09591,2.87267,1.55259,2.87798
right_pick_x35_y20_z10,right_wrist_yaw_link,3,real,0,-1,13.009,0.00744,0.01990,0,20.0,10.0,1.0,0.34522,-0.19691,0.09521,3.08022,1.55355,3.09014
right_pick_x35_y20_z14,right_wrist_yaw_link,1,real,0,-1,13.006,0.00591,0.01479,0,20.0,10.0,1.0,0.34695,-0.19735,0.13569,2.98514,1.55699,2.99044
right_pick_x35_y20_z14,right_wrist_yaw_link,2,real,0,-1,13.007,0.00626,0.01532,0,20.0,10.0,1.0,0.34673,-0.19719,0.13546,3.12303,1.55794,3.13136
right_pick_x35_y20_z14,right_wrist_yaw_link,3,real,0,-1,13.006,0.00626,0.01527,0,20.0,10.0,1.0,0.34671,-0.19726,0.13544,3.03191,1.55751,3.03944
right_pick_x35_y20_z18,right_wrist_yaw_link,1,real,0,-1,13.007,0.00634,0.01743,0,20.0,10.0,1.0,0.34660,-0.19793,0.17507,-3.12327,1.55541,-3.11510
right_pick_x35_y20_z18,right_wrist_yaw_link,2,real,0,-1,13.009,0.00634,0.01791,0,20.0,10.0,1.0,0.34652,-0.19775,0.17520,3.10219,1.55444,3.10948
right_pick_x35_y20_z18,right_wrist_yaw_link,3,real,0,-1,13.006,0.00644,0.01829,0,20.0,10.0,1.0,0.34645,-0.19764,0.17517,3.09997,1.55428,3.10784
right_pick_x35_y30_z06,right_wrist_yaw_link,1,real,0,-1,13.006,0.00529,0.04482,0,20.0,10.0,1.0,0.34675,-0.30031,0.05584,-0.00464,1.53530,0.02274
right_pick_x35_y30_z06,right_wrist_yaw_link,2,real,0,-1,13.009,0.00570,0.04353,0,20.0,10.0,1.0,0.34624,-0.29932,0.05577,0.00785,1.53658,0.03476
right_pick_x35_y30_z06,right_wrist_yaw_link,3,real,0,-1,13.005,0.00574,0.04331,0,20.0,10.0,1.0,0.34621,-0.29947,0.05573,0.00119,1.53678,0.02800
right_pick_x35_y30_z10,right_wrist_yaw_link,1,real,0,-1,13.006,0.00611,0.00386,0,20.0,10.0,1.0,0.34606,-0.30212,0.09585,2.33229,1.56844,2.33535
right_pick_x35_y30_z10,right_wrist_yaw_link,2,real,0,-1,13.009,0.00602,0.00380,0,20.0,10.0,1.0,0.34614,-0.30223,0.09595,1.94856,1.56899,1.95191
right_pick_x35_y30_z10,right_wrist_yaw_link,3,real,0,-1,13.010,0.00619,0.00377,0,20.0,10.0,1.0,0.34599,-0.30216,0.09581,2.46277,1.56821,2.46551
right_pick_x35_y30_z14,right_wrist_yaw_link,1,real,1,267,10.127,0.00463,0.01309,0,20.0,10.0,1.0,0.34739,-0.29988,0.13618,2.91851,1.55792,2.91613
right_pick_x35_y30_z14,right_wrist_yaw_link,2,real,1,267,9.710,0.00483,0.01375,0,20.0,10.0,1.0,0.34710,-0.29986,0.13614,2.98184,1.55730,2.97918
right_pick_x35_y30_z14,right_wrist_yaw_link,3,real,1,267,9.576,0.00497,0.01385,0,20.0,10.0,1.0,0.34715,-0.29971,0.13593,2.93046,1.55710,2.92837
right_pick_x35_y30_z18,right_wrist_yaw_link,1,real,1,282,9.984,0.00543,0.01744,0,20.0,10.0,1.0,0.34680,-0.30016,0.17562,2.98877,1.55421,2.98337
right_pick_x35_y30_z18,right_wrist_yaw_link,2,real,1,282,9.914,0.00556,0.01781,0,20.0,10.0,1.0,0.34671,-0.30005,0.17552,2.96671,1.55392,2.96104
right_pick_x35_y30_z18,right_wrist_yaw_link,3,real,1,281,9.897,0.00553,0.01746,0,20.0,10.0,1.0,0.34678,-0.30013,0.17550,2.89598,1.55437,2.89006
