dataset,n_trials,mean_l2_m,mean_abs_x_m,mean_abs_y_m,mean_abs_z_m,mean_ang_rad
real,96,0.03488399544271442,0.016633020833333317,0.0131634375,0.026201875,0.1180183767866458
sim,96,0.00882076322107776,0.00672906250000001,0.0008446875000000052,0.0055390625000000015,0.0005340722135129707
