dataset,arm,n_trials,mean_l2_m,mean_abs_x_m,mean_abs_y_m,mean_abs_z_m,mean_ang_rad
real,left,48,0.030985725990721774,0.012872708333333321,0.008513124999999998,0.02584729166666667,0.13926177023700606
real,right,48,0.038782264894707076,0.020393333333333315,0.01781375,0.026556458333333335,0.09677498333628554
sim,left,48,0.008833818413103526,0.006739166666666675,0.0008500000000000041,0.005546458333333336,0.0005348554969568168
sim,right,48,0.008807708029051996,0.006718958333333345,0.0008393750000000062,0.005531666666666667,0.0005332889300691245
