case,frame,trial_index,mode,converged,convergence_step,wall_time_s,lin_err_steady_m,ang_err_steady_rad,ik_optimal_success,sweep__position_cost,sweep__orientation_cost,sweep__lm_damping,ee_ss__x,ee_ss__y,ee_ss__z,ee_ss__r,ee_ss__p,ee_ss__yw
left_pick_x30_y20_z06,left_wrist_yaw_link,0,sim,1,253,6.019,0.00000,0.00000,1,20.0,10.0,1.0,0.30000,0.20000,0.06000,0.00001,1.57080,0.00001
left_pick_x30_y20_z06,left_wrist_yaw_link,1,sim,1,253,6.003,0.00000,0.00000,1,20.0,10.0,1.0,0.30000,0.20000,0.06000,0.00001,1.57080,0.00001
left_pick_x30_y20_z06,left_wrist_yaw_link,2,sim,1,253,6.003,0.00000,0.00000,1,20.0,10.0,1.0,0.30000,0.20000,0.06000,0.00001,1.57080,0.00001
left_pick_x30_y20_z10,left_wrist_yaw_link,0,sim,1,274,6.003,0.00323,0.00016,1,20.0,10.0,1.0,0.30221,0.19997,0.09764,-0.01614,1.57066,-0.01622
left_pick_x30_y20_z10,left_wrist_yaw_link,1,sim,1,274,6.002,0.00267,0.00013,1,20.0,10.0,1.0,0.30183,0.19998,0.09805,0.09182,1.57069,0.09176
left_pick_x30_y20_z10,left_wrist_yaw_link,2,sim,1,274,6.003,0.00267,0.00013,1,20.0,10.0,1.0,0.30183,0.19998,0.09805,0.09182,1.57069,0.09176
left_pick_x30_y20_z14,left_wrist_yaw_link,0,sim,1,291,6.009,0.01987,0.00114,1,20.0,10.0,1.0,0.31448,0.19988,0.12639,-2.79255,1.56981,-2.79312
left_pick_x30_y20_z14,left_wrist_yaw_link,1,sim,1,291,6.009,0.01987,0.00114,1,20.0,10.0,1.0,0.31448,0.19988,0.12639,-2.79255,1.56981,-2.79312
left_pick_x30_y20_z14,left_wrist_yaw_link,2,sim,1,291,6.002,0.02137,0.00123,1,20.0,10.0,1.0,0.31557,0.19986,0.12537,-2.83951,1.56973,-2.84011
left_pick_x30_y20_z18,left_wrist_yaw_link,0,sim,0,-1,6.008,0.04840,0.00304,1,20.0,10.0,1.0,0.33767,0.19978,0.14962,-2.98539,1.56814,-2.98685
left_pick_x30_y20_z18,left_wrist_yaw_link,1,sim,0,-1,6.002,0.05001,0.00314,1,20.0,10.0,1.0,0.33893,0.19975,0.14862,-3.00653,1.56804,-3.00800
left_pick_x30_y20_z18,left_wrist_yaw_link,2,sim,0,-1,6.007,0.04840,0.00304,1,20.0,10.0,1.0,0.33767,0.19978,0.14962,-2.98539,1.56814,-2.98685
left_pick_x30_y30_z06,left_wrist_yaw_link,0,sim,1,246,5.990,0.00000,0.00000,1,20.0,10.0,1.0,0.30000,0.30000,0.06000,0.00002,1.57080,0.00002
left_pick_x30_y30_z06,left_wrist_yaw_link,1,sim,1,246,6.010,0.00000,0.00000,1,20.0,10.0,1.0,0.30000,0.30000,0.06000,0.00002,1.57080,0.00002
left_pick_x30_y30_z06,left_wrist_yaw_link,2,sim,1,246,6.016,0.00000,0.00000,1,20.0,10.0,1.0,0.30000,0.30000,0.06000,0.00002,1.57080,0.00002
left_pick_x30_y30_z10,left_wrist_yaw_link,0,sim,1,268,6.010,0.00021,0.00001,1,20.0,10.0,1.0,0.30014,0.30004,0.09985,-0.00730,1.57079,-0.00730
left_pick_x30_y30_z10,left_wrist_yaw_link,1,sim,1,268,6.009,0.00021,0.00001,1,20.0,10.0,1.0,0.30014,0.30004,0.09985,-0.00730,1.57079,-0.00730
left_pick_x30_y30_z10,left_wrist_yaw_link,2,sim,1,268,6.009,0.00038,0.00001,1,20.0,10.0,1.0,0.30026,0.30008,0.09973,0.09888,1.57078,0.09887
left_pick_x30_y30_z14,left_wrist_yaw_link,0,sim,1,285,6.015,0.01272,0.00071,1,20.0,10.0,1.0,0.30909,0.30277,0.13155,-0.40813,1.57009,-0.40825
