case,frame,trial_index,mode,converged,convergence_step,wall_time_s,lin_err_steady_m,ang_err_steady_rad,ik_optimal_success,sweep__position_cost,sweep__orientation_cost,sweep__lm_damping,ee_ss__x,ee_ss__y,ee_ss__z,ee_ss__r,ee_ss__p,ee_ss__yw
left_pick_x30_y20_z06,left_wrist_yaw_link,1,real,1,249,8.334,0.00492,0.00024,0,20.0,10.0,1.0,0.28761,0.20506,0.03719,-2.44510,1.52923,-2.64082
left_pick_x30_y20_z06,left_wrist_yaw_link,2,real,1,249,8.198,0.00492,0.00024,0,20.0,10.0,1.0,0.28827,0.20468,0.03746,-2.56437,1.52718,-2.55545
left_pick_x30_y20_z06,left_wrist_yaw_link,3,real,1,249,8.215,0.00496,0.00024,0,20.0,10.0,1.0,0.28864,0.20516,0.03768,-1.93032,1.52792,-1.92102
left_pick_x30_y20_z10,left_wrist_yaw_link,1,real,1,271,8.688,0.00407,0.00019,0,20.0,10.0,1.0,0.28396,0.20637,0.07260,-1.72336,1.51267,-2.27974
left_pick_x30_y20_z10,left_wrist_yaw_link,2,real,1,271,8.672,0.00405,0.00019,0,20.0,10.0,1.0,0.28421,0.20639,0.07277,-1.73973,1.51182,-2.29922
left_pick_x30_y20_z10,left_wrist_yaw_link,3,real,1,271,8.636,0.00410,0.00019,0,20.0,10.0,1.0,0.28418,0.20638,0.07281,-1.73516,1.51235,-2.29298
left_pick_x30_y20_z14,left_wrist_yaw_link,1,real,1,289,9.043,0.00343,0.00016,0,20.0,10.0,1.0,0.28788,0.21789,0.11229,-1.57895,1.52032,-2.09918
left_pick_x30_y20_z14,left_wrist_yaw_link,2,real,1,289,9.038,0.00344,0.00016,0,20.0,10.0,1.0,0.28809,0.21738,0.11249,-1.56961,1.52055,-2.09091
left_pick_x30_y20_z14,left_wrist_yaw_link,3,real,1,289,9.065,0.00343,0.00016,0,20.0,10.0,1.0,0.28836,0.21776,0.11275,-1.57406,1.52188,-2.09442
left_pick_x30_y20_z18,left_wrist_yaw_link,1,real,1,304,9.397,0.00336,0.00017,0,20.0,10.0,1.0,0.28962,0.22478,0.15155,2.96817,1.50247,3.03510
left_pick_x30_y20_z18,left_wrist_yaw_link,2,real,1,304,9.372,0.00336,0.00017,0,20.0,10.0,1.0,0.28950,0.22342,0.15142,2.99479,1.50153,2.34086
left_pick_x30_y20_z18,left_wrist_yaw_link,3,real,1,304,9.360,0.00333,0.00017,0,20.0,10.0,1.0,0.28968,0.22373,0.15164,2.97471,1.50184,3.03935
left_pick_x30_y30_z06,left_wrist_yaw_link,1,real,1,243,8.141,0.00411,0.00007,0,20.0,10.0,1.0,0.29278,0.30099,0.04163,-2.27919,1.54625,-2.29273
left_pick_x30_y30_z06,left_wrist_yaw_link,2,real,1,243,8.114,0.00412,0.00007,0,20.0,10.0,1.0,0.29313,0.30165,0.04201,-2.49891,1.55167,-2.52019
left_pick_x30_y30_z06,left_wrist_yaw_link,3,real,1,243,8.118,0.00413,0.00007,0,20.0,10.0,1.0,0.29330,0.30176,0.04216,-2.51849,1.55236,-2.54007
left_pick_x30_y30_z10,left_wrist_yaw_link,1,real,1,265,8.592,0.00376,0.00008,0,20.0,10.0,1.0,0.29755,0.30150,0.08310,-1.94131,1.53194,-1.94936
left_pick_x30_y30_z10,left_wrist_yaw_link,2,real,1,265,8.607,0.00381,0.00008,0,20.0,10.0,1.0,0.30192,0.30043,0.08637,-1.88983,1.54083,-1.90180
left_pick_x30_y30_z10,left_wrist_yaw_link,3,real,1,265,8.579,0.00378,0.00008,0,20.0,10.0,1.0,0.29985,0.30086,0.08492,-1.99064,1.53803,-2.00071
left_pick_x30_y30_z14,left_wrist_yaw_link,1,real,1,283,8.941,0.00353,0.00009,0,20.0,10.0,1.0,0.30515,0.30161,0.12905,-1.28439,1.54675,-1.28541
